Virus name	Accession ID	Collection date	Location	Host	Passage	Specimen	Additional host information	Sequencing technology	Assembly method	Comment	Comment type	Lineage	Clade
hCoV-19/Philippines/PH-RITM-0036/2020	EPI_ISL_1061412	2020-09-18	Asia / Philippines / Region IV-B	Human	Original	Nasopharyngeal and oropharyngeal swab		Nanopore MinION	Artic-ncov2019 (minimap2)	Long stretches of NNNs (11.06% of overall sequence).	alert	B.1.74	G
hCoV-19/Philippines/PH-RITM-0037/2021	EPI_ISL_1069174	2021-01-03	Asia / Philippines / Region IV-A	Human	Original	Nasopharyngeal and oropharyngeal swab		Nanopore MinION	Artic-ncov2019 (minimap2)	Long stretches of NNNs (40.77% of overall sequence). NS7a without BLAST coverage. NSP11 without BLAST coverage. NS7b without BLAST coverage. NSP10 without BLAST coverage. NS6 without BLAST coverage.	alert	B.1	G
hCoV-19/Philippines/PH-RITM-0038/2021	EPI_ISL_1069175	2021-01-04	Asia / Philippines / Region IV-A	Human	Original	Nasopharyngeal and oropharyngeal swab		Nanopore MinION	Artic-ncov2019 (minimap2)	Long stretches of NNNs (28.42% of overall sequence). NSP11 without BLAST coverage. NS7b without BLAST coverage. Generated under less stringent quality filter at guppy demultiplexing step (i.e. without '--require_barcodes_both_ends' argument). Sample is for resequencing.	alert	B.1.74	G
hCoV-19/Philippines/PH-RITM-0039/2021	EPI_ISL_1069176	2021-01-08	Asia / Philippines / Region IV-A	Human	Original	Nasopharyngeal and oropharyngeal swab		Nanopore MinION	Artic-ncov2019 (minimap2)	Long stretches of NNNs (9.44% of overall sequence). NS7b without BLAST coverage. Generated under less stringent quality filter at guppy demultiplexing step (i.e. without '--require_barcodes_both_ends' argument). Sample is for resequencing.	alert	B.1	GH
hCoV-19/Philippines/PH-RITM-0040/2021	EPI_ISL_1069177	2021-01-04	Asia / Philippines / Region IV-A	Human	Original	Nasopharyngeal and oropharyngeal swab		Nanopore MinION	Artic-ncov2019 (minimap2)	Long stretches of NNNs (11.66% of overall sequence). Generated under less stringent quality filter at guppy demultiplexing step (i.e. without '--require_barcodes_both_ends' argument). Sample is for resequencing.	alert	B.1.74	G
hCoV-19/Philippines/PH-RITM-0041/2021	EPI_ISL_1069178	2021-01-04	Asia / Philippines / Region IV-A	Human	Original	Nasopharyngeal and oropharyngeal swab		Nanopore MinION	Artic-ncov2019 (minimap2)	Stretches of NNNs (3.47% of overall sequence). Generated under less stringent quality filter at guppy demultiplexing step (i.e. without '--require_barcodes_both_ends' argument). Sample is for resequencing.	warn	B.1.1.296	GR
hCoV-19/Philippines/PH-RITM-0042/2021	EPI_ISL_1069179	2021-01-02	Asia / Philippines / Region IV-A	Human	Original	Nasopharyngeal and oropharyngeal swab		Nanopore MinION	Artic-ncov2019 (minimap2)	Long stretches of NNNs (11.81% of overall sequence). Generated under less stringent quality filter at guppy demultiplexing step (i.e. without '--require_barcodes_both_ends' argument). Sample is for resequencing.	alert	B.1	G
hCoV-19/Philippines/PH-RITM-0043/2021	EPI_ISL_1069180	2021-01-02	Asia / Philippines / Region IV-A	Human	Original	Nasopharyngeal and oropharyngeal swab		Nanopore MinION	Artic-ncov2019 (minimap2)	Long stretches of NNNs (38.86% of overall sequence). NS7a without BLAST coverage. NSP11 without BLAST coverage. NS7b without BLAST coverage. M without BLAST coverage. NS6 without BLAST coverage. Generated under less stringent quality filter at guppy demultiplexing step (i.e. without '--require_barcodes_both_ends' argument). Sample is for resequencing.	alert	B.1	G
hCoV-19/Philippines/PH-RITM-0044/2021	EPI_ISL_1069181	2021-01-02	Asia / Philippines / Region IV-A	Human	Original	Nasopharyngeal and oropharyngeal swab		Nanopore MinION	Artic-ncov2019 (minimap2)	Stretches of NNNs (4.66% of overall sequence). Generated under less stringent quality filter at guppy demultiplexing step (i.e. without '--require_barcodes_both_ends' argument). Sample is for resequencing.	warn	B.1.1.263	GR
hCoV-19/Philippines/PH-RITM-0045/2021	EPI_ISL_1069182	2021-01-05	Asia / Philippines / Region IV-A	Human	Original	Nasopharyngeal and oropharyngeal swab		Nanopore MinION	Artic-ncov2019 (minimap2)	Long stretches of NNNs (15.02% of overall sequence). NS7b without BLAST coverage.	alert	B.1.74	G
hCoV-19/Philippines/PH-RITM-0046/2021	EPI_ISL_1069183	2021-01-05	Asia / Philippines / Region IV-A	Human	Original	Nasopharyngeal and oropharyngeal swab		Nanopore MinION	Artic-ncov2019 (minimap2)	Long stretches of NNNs (20.03% of overall sequence). Generated under less stringent quality filter at guppy demultiplexing step (i.e. without '--require_barcodes_both_ends' argument). Sample is for resequencing.	alert	B.1.74	G
hCoV-19/Philippines/PH-RITM-0047/2021	EPI_ISL_1069184	2021-01-06	Asia / Philippines / Region IV-A	Human	Original	Nasopharyngeal and oropharyngeal swab		Nanopore MinION	Artic-ncov2019 (minimap2)	Long stretches of NNNs (9.89% of overall sequence). Generated under less stringent quality filter at guppy demultiplexing step (i.e. without '--require_barcodes_both_ends' argument). Sample is for resequencing.	alert	B.1.74	G
hCoV-19/Philippines/PH-RITM-0048/2021	EPI_ISL_1069185	2021-01-06	Asia / Philippines / Region IV-A	Human	Original	Nasopharyngeal and oropharyngeal swab		Nanopore MinION	Artic-ncov2019 (minimap2)	Stretches of NNNs (4.46% of overall sequence). Generated under less stringent quality filter at guppy demultiplexing step (i.e. without '--require_barcodes_both_ends' argument). Sample is for resequencing.	warn	B.1.1.63	GR
hCoV-19/Philippines/PH-RITM-0049/2021	EPI_ISL_1069186	2021-01-08	Asia / Philippines / Region IV-A	Human	Original	Nasopharyngeal and oropharyngeal swab		Nanopore MinION	Artic-ncov2019 (minimap2)	Long stretches of NNNs (20.41% of overall sequence). NSP11 without BLAST coverage. Generated under less stringent quality filter at guppy demultiplexing step (i.e. without '--require_barcodes_both_ends' argument). Sample is for resequencing.	alert	B.1.360	G
hCoV-19/Philippines/PH-RITM-0050/2020	EPI_ISL_1069187	2020-12-16	Asia / Philippines / Region IV-A	Human	Original	Nasopharyngeal and oropharyngeal swab		Nanopore MinION	Artic-ncov2019 (minimap2)	Long stretches of NNNs (33.05% of overall sequence). NSP11 without BLAST coverage. NS7b without BLAST coverage. M without BLAST coverage. Generated under less stringent quality filter at guppy demultiplexing step (i.e. without '--require_barcodes_both_ends' argument). Sample is for resequencing.	alert	B.1.218	G
