Virus name	Accession ID	Collection date	Location	Host	Passage	Specimen	Additional host information	Sequencing technology	Assembly method	Comment	Comment type	Lineage	Clade
hCoV-19/Philippines/026/2020	EPI_ISL_410302	2020-01-26	Asia / Philippines	Human	unknown							None	O
hCoV-19/Philippines/026N/2020	EPI_ISL_410314	2020-02-06	Asia / Philippines	Human	unknown							None	O
hCoV-19/Philippines/025N/2020	EPI_ISL_410344	2020-01-26	Asia / Philippines	Human	unknown							None	O
hCoV-19/Philippines/022N/2020	EPI_ISL_410345	2020-01-23	Asia / Philippines	Human	unknown							None	O
hCoV-19/Philippines/RITM-03/2020	EPI_ISL_430456	2020-03-21	Asia / Philippines	Human	Original	Nasopharyngeal swab and oropharyngeal swab		Nanopore MinION	Artic-ncov2019 (minimap2)	[X] Long stretches of NNNs (5.43% of overall sequence).	alert	B.6	L
hCoV-19/Philippines/RITM-01/2020	EPI_ISL_430838	2020-03-10	Asia / Philippines	Human	Original	Nasopharyngeal swab and oropharyngeal swab		Nanopore MinION	Artic-ncov2019 (minimap2)	[X] Long stretches of NNNs (19.01% of overall sequence).	alert	B.6	O
hCoV-19/Philippines/RITM-02/2020	EPI_ISL_430839	2020-03-11	Asia / Philippines	Human	Original	Nasopharyngeal swab and oropharyngeal swab		Nanopore MinION	Artic-ncov2019 (minimap2)	[X] Long stretches of NNNs (11.09% of overall sequence).	alert	B.6	O
hCoV-19/Philippines/RITM-04/2020	EPI_ISL_430840	2020-03-08	Asia / Philippines	Human	Original	Nasopharyngeal swab and oropharyngeal swab		Nanopore MinION	Artic-ncov2019 (minimap2)	[X] Long stretches of NNNs (10.18% of overall sequence).	alert	B.6	O
hCoV-19/Philippines/RITM-05/2020	EPI_ISL_430843	2020-03-22	Asia / Philippines	Human	Original	Nasopharyngeal swab and oropharyngeal swab		Nanopore MinION	Artic-ncov2019 (minimap2)	[X] Long stretches of NNNs (10.93% of overall sequence).	alert	B.6	O
hCoV-19/Philippines/RITM-06/2020	EPI_ISL_430844	2020-03-22	Asia / Philippines	Human	Original	Nasopharyngeal swab and oropharyngeal swab		Nanopore MinION	Artic-ncov2019 (minimap2)	[X] Long stretches of NNNs (12.77% of overall sequence).	alert	B.6	O
hCoV-19/Philippines/RITM-07/2020	EPI_ISL_430845	2020-03-23	Asia / Philippines	Human	Original	Nasopharyngeal swab and oropharyngeal swab		Nanopore MinION	Artic-ncov2019 (minimap2)	[X] Long stretches of NNNs (9.04% of overall sequence).	alert	B.6	O
hCoV-19/Philippines/PGC01/2020	EPI_ISL_431833	2020-03-22	Asia / Philippines / Manila	Human	Original			Illumina NextSeq		[W] Stretches of NNNs (2.37% of overall sequence). %UniqueMutations 0.46%.	warn	B.6	O
hCoV-19/Philippines/PGC02/2020	EPI_ISL_434554	2020-03-26	Asia / Philippines / Manila	Human	Original			Illumina NextSeq		[W] Insertion of 3 nucleotides when compared to the reference sequence. %UniqueMutations 0.20%.	warn	B.6	O
hCoV-19/Philippines/PGC03/2020	EPI_ISL_434555	2020-03-26	Asia / Philippines / Manila	Human	Original			Illumina NextSeq				B.6	O
hCoV-19/Philippines/PGC04/2020	EPI_ISL_434556	2020-03-26	Asia / Philippines / Manila	Human	Original			Illumina NextSeq		[W] Stretches of NNNs (1.16% of overall sequence).	warn	B.6	O
hCoV-19/Philippines/PGC05/2020	EPI_ISL_434557	2020-03-27	Asia / Philippines / Manila	Human	Original			Illumina NextSeq		[W] Stretches of NNNs (2.53% of overall sequence). %UniqueMutations 0.13%.	warn	B.6	O
hCoV-19/Philippines/PGC06/2020	EPI_ISL_434558	2020-03-28	Asia / Philippines / Manila	Human	Original			Illumina NextSeq				B.6	O
hCoV-19/Philippines/PH-RITM-0019/2020	EPI_ISL_491298	2020-06-25	Asia / Philippines	Human	Original	Nasopharyngeal swab and oropharyngeal swab		Nanopore MinION	artic-ncov2019 (minimap2)	Long stretches of NNNs (5.45% of overall sequence).	alert	B.1.1	O
hCoV-19/Philippines/PH-RITM-0009/2020	EPI_ISL_491465	2020-01-26	Asia / Philippines / NCR	Human	Original	Nasopharyngeal swab and oropharyngeal swab		Nanopore MinION	artic-ncov2019 (minimap2)	Long stretches of NNNs (10.58% of overall sequence).	alert	B	L
hCoV-19/Philippines/PH-RITM-0010/2020	EPI_ISL_491466	2020-01-29	Asia / Philippines / NCR	Human	Original	Endotracheal aspirate		Nanopore MinION	artic-ncov2019 (minimap2)	Long stretches of NNNs (18.67% of overall sequence).	alert	B	O
hCoV-19/Philippines/PH-RITM-0011/2020	EPI_ISL_491467	2020-03-07	Asia / Philippines / NCR	Human	Original	Nasopharyngeal swab and oropharyngeal swab		Nanopore MinION	artic-ncov2019 (minimap2)	Long stretches of NNNs (17.75% of overall sequence).	alert	B.6	O
hCoV-19/Philippines/PH-RITM-0012/2020	EPI_ISL_491468	2020-03-06	Asia / Philippines / NCR	Human	Original	Nasopharyngeal swab and oropharyngeal swab		Nanopore MinION	artic-ncov2019 (minimap2)	Long stretches of NNNs (15.11% of overall sequence).	alert	B.6	O
hCoV-19/Philippines/PH-RITM-0014/2020	EPI_ISL_491469	2020-03-06	Asia / Philippines / NCR	Human	Original	Nasopharyngeal swab and oropharyngeal swab		Nanopore MinION	artic-ncov2019 (minimap2)	Long stretches of NNNs (74.18% of overall sequence).	alert		
hCoV-19/Philippines/PH-RITM-0015/2020	EPI_ISL_491470	2020-03-07	Asia / Philippines / NCR	Human	Original	Nasopharyngeal swab and oropharyngeal swab		Nanopore MinION	artic-ncov2019 (minimap2)	Long stretches of NNNs (61.02% of overall sequence).	alert		
hCoV-19/Philippines/PH-RITM-0016/2020	EPI_ISL_491471	2020-01-29	Asia / Philippines / NCR	Human	Original	Nasopharyngeal swab and oropharyngeal swab		Nanopore MinION	artic-ncov2019 (minimap2)	Long stretches of NNNs (9.86% of overall sequence).	alert	B	O
hCoV-19/Philippines/PH-RITM-0017/2020	EPI_ISL_491472	2020-03-04	Asia / Philippines / NCR	Human	Original	Nasopharyngeal swab and oropharyngeal swab		Nanopore MinION	artic-ncov2019 (minimap2)	Long stretches of NNNs (15.55% of overall sequence).	alert	B.6	O
hCoV-19/Philippines/PH-RITM-0018/2020	EPI_ISL_491473	2020-03-06	Asia / Philippines / NCR	Human	Original	Nasopharyngeal swab and oropharyngeal swab		Nanopore MinION	artic-ncov2019 (minimap2)	Long stretches of NNNs (12.89% of overall sequence).	alert	B.6	O
hCoV-19/Philippines/PH-RITM-0020/2020	EPI_ISL_491474	2020-06-22	Asia / Philippines / NCR	Human	Original	Nasopharyngeal swab and oropharyngeal swab		Nanopore MinION	artic-ncov2019 (minimap2)	Long stretches of NNNs (7.22% of overall sequence).	alert	B	O
hCoV-19/Philippines/PH-RITM-0021/2020	EPI_ISL_491475	2020-06-25	Asia / Philippines / NCR	Human	Original	Oropharyngeal swab		Nanopore MinION	artic-ncov2019 (minimap2)	Long stretches of NNNs (29.59% of overall sequence).	alert	B.1	G
