Virus name	Accession ID	Collection date	Location	Host	Passage	Specimen	Additional host information	Sequencing technology	Assembly method	Comment	Comment type	Lineage	Clade
hCoV-19/USA/CA-QDX-2762/2020	EPI_ISL_803095	2020-12-26	North America / USA / California	Human	Original			Illumina MiSeq	bwa v. 0.7.17-r1188; iVar 1.2.2	Insertion of 2 nucleotide(s) found at refpos 28251 (FRAMESHIFT confirmed by the submitter). NS8_E59stop results in 52.1% truncation of the protein sequence.	info	B.1.1	GR
hCoV-19/USA/CA-QDX-2777/2020	EPI_ISL_803096	2020-12-26	North America / USA / California	Human	Original			Illumina MiSeq	bwa v. 0.7.17-r1188; iVar 1.2.2	Gap of 1 nucleotide(s) found at refpos 28254 (FRAMESHIFT confirmed by the submitter).	info	B.1.110	GH
hCoV-19/USA/CA-QDX-2794/2020	EPI_ISL_803097	2020-12-26	North America / USA / California	Human	Original			Illumina MiSeq	bwa v. 0.7.17-r1188; iVar 1.2.2	Insertion of 2 nucleotide(s) found at refpos 28251 (FRAMESHIFT confirmed by the submitter).	info	B.1.2	GH
hCoV-19/Ecuador/USFQ-581/2021	EPI_ISL_803098	2021-01-06	South America / Ecuador / Los Rios / Valencia	Human	Original			Nanopore MinION		NS8_Q27stop results in 78.5% truncation of the protein sequence. Insertion of 6 nucleotides when compared to the reference sequence.	warn	B.1.1.7	GR
hCoV-19/USA/IL-CDC-2-3693699/2020	EPI_ISL_803099	2020-11-09	North America / USA / Illinois	Human	Original	Nasal secretions		unknown		NS8_Q18stop results in 86.0% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	warn	B.1.2	GH
hCoV-19/USA/TN-CDC-2-3693580/2020	EPI_ISL_803100	2020-11-25	North America / USA / Tennessee	Human	Original			unknown		NS3_G254stop results in 8.0% truncation of the protein sequence.	info	B.1.2	GH
hCoV-19/USA/OK-CDC-2-3693490/2020	EPI_ISL_803101	2020-11-18	North America / USA / Oklahoma	Human	Original			unknown		Gap of 39 nucleotides when compared to the reference sequence. %UniqueMutations 0.18%.	warn	B.1.234	G
hCoV-19/USA/MT-CDC-2-3693668/2020	EPI_ISL_803102	2020-10-30	North America / USA / Montana	Human	Original	Nasal secretions		unknown				B.1	G
hCoV-19/USA/NV-CDC-2-3693472/2020	EPI_ISL_803103	2020-11-09	North America / USA / Nevada	Human	Original			unknown		Stretches of NNNs (2.03% of overall sequence).	warn	B.1.230	G
hCoV-19/USA/OR-CDC-2-3693559/2020	EPI_ISL_803104	2020-11-18	North America / USA / Oregon	Human	Original			unknown		Stretches of NNNs (2.74% of overall sequence). NS8_E106stop results in 13.2% truncation of the protein sequence. NSP9 without BLAST coverage.	warn	B.1.243	GH
hCoV-19/USA/DE-CDC-2-3693752/2020	EPI_ISL_803105	2020-10-20	North America / USA / Delaware	Human	Original	Nasal secretions		unknown				B.1.189	G
hCoV-19/USA/DE-CDC-2-3693674/2020	EPI_ISL_803106	2020-10-21	North America / USA / Delaware	Human	Original	Nasal secretions		unknown				B.1.189	G
hCoV-19/cat/Iran/MeshkinShahr/2020	EPI_ISL_803107	2020-07-22	Asia / Iran	Felis catus	Original	Respiratory swab		Sanger dideoxy sequencing		Surface glycoprotein (S) gene, partial cds		None	O
hCoV-19/Australia/NSW1424/2021	EPI_ISL_803108	2021-01-10	Oceania / Australia / New South Wales / Sydney	Human	Original			Illumina iSeq				B.1.1	GR
hCoV-19/Australia/NSW1425/2021	EPI_ISL_803109	2021-01-11	Oceania / Australia / New South Wales / Sydney	Human	Original			Illumina iSeq				B.1.1	GR
hCoV-19/Australia/NSW1426/2021	EPI_ISL_803110	2021-01-08	Oceania / Australia / New South Wales / Sydney	Human	Original			Illumina iSeq				B.1	GH
hCoV-19/Australia/NSW1427/2021	EPI_ISL_803111	2021-01-08	Oceania / Australia / New South Wales / Sydney	Human	Original			Illumina iSeq		Insertion of 9 nucleotides when compared to the reference sequence. Gap of 3 nucleotides when compared to the reference sequence.	warn	B.1.1.1	GR
hCoV-19/Australia/NSW1428/2021	EPI_ISL_803112	2021-01-08	Oceania / Australia / New South Wales / Sydney	Human	Original			Illumina iSeq				B.1.2	GH
hCoV-19/Australia/NSW1429/2021	EPI_ISL_803113	2021-01-08	Oceania / Australia / New South Wales / Sydney	Human	Original			Illumina iSeq		NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence. %UniqueMutations 0.08%.	warn	B.1.1.7	GR
hCoV-19/Australia/NSW1430/2021	EPI_ISL_803114	2021-01-08	Oceania / Australia / New South Wales / Sydney	Human	Original			Illumina iSeq				B.1.2	GH
