Virus name	Accession ID	Collection date	Location	Host	Passage	Specimen	Additional host information	Sequencing technology	Assembly method	Comment	Comment type	Lineage	Clade
hCoV-19/Argentina/C3013/2020	EPI_ISL_420598	2020-03-22	South America / Argentina	Human	Original	naso-pharyngeal swab		unknown	unknown			B.1	G
hCoV-19/Argentina/C1374/2020	EPI_ISL_420599	2020-03-18	South America / Argentina	Human	Original	naso-pharyngeal swab		Illumina MiSeq				B.1	GH
hCoV-19/Argentina/C121/2020	EPI_ISL_420600	2020-03-07	South America / Argentina	Human	Original	naso-pharyngeal swab		Illumina MiSeq				B.1.1	GR
hCoV-19/Argentina/PAIS-A0001/2020	EPI_ISL_430793	2020-03-01	South America / Argentina / Ciudad Autonoma de Buenos Aires	Human	Original	Nasopharyngeal swab		Illumina NextSeq500	BWA MEM	Stretches of NNNs (1.81% of overall sequence).	warn	B.1.1	GR
hCoV-19/Argentina/PAIS-A0002/2020	EPI_ISL_430794	2020-03-24	South America / Argentina / Ciudad Autonoma de Buenos Aires	Human	Original	Nasopharyngeal swab		Illumina NextSeq500	BWA MEM	Long stretches of NNNs (8.43% of overall sequence).	alert	B.1.1	GR
hCoV-19/Argentina/PAIS-A0003/2020	EPI_ISL_430795	2020-03-26	South America / Argentina / Ciudad Autonoma de Buenos Aires	Human	Original	Nasopharyngeal swab		Illumina NextSeq500	BWA MEM	Stretches of NNNs (4.56% of overall sequence).	warn	B.1	GH
hCoV-19/Argentina/PAIS-A0004/2020	EPI_ISL_430796	2020-03-27	South America / Argentina / Ciudad Autonoma de Buenos Aires	Human	Original	Nasopharyngeal swab		Illumina NextSeq500	BWA MEM			B.1.5	G
hCoV-19/Argentina/PAIS-A0005/2020	EPI_ISL_430797	2020-03-27	South America / Argentina / Buenos Aires / Bahia Blanca	Human	Original	Nasopharyngeal swab		Illumina NextSeq500	BWA MEM	 Gap of 44 nucleotides when compared to the reference sequence (confirmed by the submitter).	info	B.1.1	GR
hCoV-19/Argentina/PAIS-A0006/2020	EPI_ISL_430798	2020-03-28	South America / Argentina / Buenos Aires / Quilmes	Human	Original	Nasopharyngeal swab		Illumina NextSeq500	BWA MEM			B.1.3	GH
hCoV-19/Argentina/PAIS-A0007/2020	EPI_ISL_430799	2020-03-30	South America / Argentina / Ciudad Autonoma de Buenos Aires	Human	Original	Nasopharyngeal swab		Illumina NextSeq500	BWA MEM			B.1.5	G
hCoV-19/Argentina/PAIS-A0008/2020	EPI_ISL_430800	2020-03-30	South America / Argentina / Ciudad Autonoma de Buenos Aires	Human	Original	Nasopharyngeal swab		Illumina NextSeq500	BWA MEM			B.1.5	G
hCoV-19/Argentina/PAIS-A0009/2020	EPI_ISL_430801	2020-03-31	South America / Argentina / Ciudad Autonoma de Buenos Aires	Human	Original	Nasopharyngeal swab		Illumina NextSeq500	BWA MEM			B.1.5	G
hCoV-19/Argentina/PAIS-A0011/2020	EPI_ISL_430802	2020-03-31	South America / Argentina / Buenos Aires / Bahia Blanca	Human	Original	Nasopharyngeal swab		Illumina NextSeq500	BWA MEM			B.1.1	GR
hCoV-19/Argentina/PAIS-A0012/2020	EPI_ISL_430803	2020-04-01	South America / Argentina / Ciudad Autonoma de Buenos Aires	Human	Original	Nasopharyngeal swab		Illumina NextSeq500	BWA MEM			B.1.5	G
hCoV-19/Argentina/PAIS-A0013/2020	EPI_ISL_430804	2020-04-01	South America / Argentina / Ciudad Autonoma de Buenos Aires	Human	Original	Nasopharyngeal swab		Illumina NextSeq500	metagenomics, metaSpades			B.1.5	G
hCoV-19/Argentina/PAIS-A0014/2020	EPI_ISL_430805	2020-04-01	South America / Argentina / Buenos Aires / Bahia Blanca	Human	Original	Nasopharyngeal swab		Illumina NextSeq500	BWA MEM	 Gap of 44 nucleotides when compared to the reference sequence (confirmed by the submitter).	info	B.1.1	GR
hCoV-19/Argentina/PAIS-A0015/2020	EPI_ISL_430806	2020-04-01	South America / Argentina / Buenos Aires / Bahia Blanca	Human	Original	Nasopharyngeal swab		Illumina NextSeq500	BWA MEM	Long stretches of NNNs (6.12% of overall sequence).	alert	B.1.5	G
hCoV-19/Argentina/PAIS-A0016/2020	EPI_ISL_430807	2020-04-02	South America / Argentina / Ciudad Autonoma de Buenos Aires	Human	Original	Nasopharyngeal swab		Illumina NextSeq500	BWA MEM			B.1.1	GR
hCoV-19/Argentina/PAIS-A0017/2020	EPI_ISL_430808	2020-04-03	South America / Argentina / Rio Negro / San Carlos de Bariloche	Human	Original	Nasopharyngeal swab		Illumina NextSeq500	BWA MEM			B.1.1.1	GR
hCoV-19/Argentina/PAIS-A0018/2020	EPI_ISL_430809	2020-04-04	South America / Argentina / Ciudad Autonoma de Buenos Aires	Human	Original	Nasopharyngeal swab		Illumina NextSeq500	BWA MEM			B.1.1.1	GR
hCoV-19/Argentina/PAIS-A0019/2020	EPI_ISL_430810	2020-04-07	South America / Argentina / Ciudad Autonoma de Buenos Aires	Human	Original	Nasopharyngeal swab		Illumina NextSeq500	BWA MEM			B.1.3	GH
hCoV-19/Argentina/PAIS-A0020/2020	EPI_ISL_430811	2020-04-11	South America / Argentina / Ciudad Autonoma de Buenos Aires	Human	Original	Nasopharyngeal swab		Illumina NextSeq500	BWA MEM			B.1.1.1	GR
hCoV-19/Argentina/PAIS-A0021/2020	EPI_ISL_430812	2020-04-11	South America / Argentina / Ciudad Autonoma de Buenos Aires	Human	Original	Nasopharyngeal swab		Illumina NextSeq500	BWA MEM			B.1.1.1	GR
hCoV-19/Argentina/PAIS-A0022/2020	EPI_ISL_430813	2020-04-11	South America / Argentina / Ciudad Autonoma de Buenos Aires	Human	Original	Nasopharyngeal swab		Illumina NextSeq500	BWA MEM			B.1.1.1	GR
hCoV-19/Argentina/PAIS-A0023/2020	EPI_ISL_430814	2020-04-17	South America / Argentina / Ciudad Autonoma de Buenos Aires	Human	Original	Nasopharyngeal swab		Illumina NextSeq500	BWA MEM			B.1.1	GR
hCoV-19/Argentina/PAIS-A0024/2020	EPI_ISL_430815	2020-04-18	South America / Argentina / Ciudad Autonoma de Buenos Aires	Human	Original	Nasopharyngeal swab		Illumina NextSeq500	BWA MEM			B.1.1	GR
hCoV-19/Argentina/PAIS-A0025/2020	EPI_ISL_430816	2020-04-18	South America / Argentina / Ciudad Autonoma de Buenos Aires	Human	Original	Nasopharyngeal swab		Illumina NextSeq500	BWA MEM	 Gap of 6 nucleotides when compared to the reference sequence.	info	B.1.1	GR
hCoV-19/Argentina/PAIS-A0026/2020	EPI_ISL_430817	2020-04-18	South America / Argentina / Ciudad Autonoma de Buenos Aires	Human	Original	Nasopharyngeal swab		Illumina NextSeq500	BWA MEM			B.1.1	GR
hCoV-19/Argentina/PAIS-A0027/2020	EPI_ISL_430818	2020-04-19	South America / Argentina / Ciudad Autonoma de Buenos Aires	Human	Original	Nasopharyngeal swab		Illumina NextSeq500	BWA MEM			B.1.1	GR
hCoV-19/Argentina/Heritas_HG001/2020	EPI_ISL_476496	2020-04-22	South America / Argentina / Ciudad Autonoma de Buenos Aires	Human	Original	Oro-pharyngeal swab		Illumina MiniSeq	DRAGEN RNA Pathogen Detection 3.5.13			B.1.1	GR
hCoV-19/Argentina/Heritas_HG006/2020	EPI_ISL_476561	2020-05-07	South America / Argentina / Ciudad Autonoma de Buenos Aires	Human	Original	Oro-pharyngeal swab		Illumina MiniSeq	DRAGEN RNA Pathogen Detection 3.5.13			B.1.1	GR
hCoV-19/Argentina/Heritas_HG014/2020	EPI_ISL_476563	2020-05-16	South America / Argentina / Buenos Aires / Lomas de Zamora	Human	Original	Oro-pharyngeal swab		Illumina MiniSeq	DRAGEN RNA Pathogen Detection 3.5.13			B.1.3	GH
hCoV-19/Argentina/Heritas_HG007/2020	EPI_ISL_476565	2020-05-09	South America / Argentina / Ciudad Autonoma de Buenos Aires	Human	Original			Illumina MiniSeq	DRAGEN RNA Pathogen Detection 3.5.13			B.1.1	GR
hCoV-19/Argentina/Heritas_HG015/2020	EPI_ISL_476567	2020-05-18	South America / Argentina / Ciudad Autonoma de Buenos Aires	Human	Original	Oro-pharyngeal swab		Illumina MiniSeq	DRAGEN RNA Pathogen Detection 3.5.13			B.1.3	GH
hCoV-19/Argentina/Heritas_HG009/2020	EPI_ISL_476568	2020-05-14	South America / Argentina / Ciudad Autonoma de Buenos Aires	Human	Original	Oro-pharyngeal swab		Illumina MiniSeq	DRAGEN RNA Pathogen Detection 3.5.13			B.1	GH
hCoV-19/Argentina/Heritas_HG018/2020	EPI_ISL_476571	2020-05-19	South America / Argentina / Ciudad Autonoma de Buenos Aires	Human	Original	Oro-pharyngeal swab		Illumina MiniSeq	DRAGEN RNA Pathogen Detection 3.5.13			B.1.3	GH
hCoV-19/Argentina/Heritas_HG019/2020	EPI_ISL_476573	2020-05-22	South America / Argentina / Tucuman	Human	Original	Oro-pharyngeal swab		Illumina MiniSeq	DRAGEN RNA Pathogen Detection 3.5.13			B.1.3	GH
